Date,CategoricalFeature1,CategoricalFeature2,Activity1,Activity2,Target,Activity3,Activity4,Activity5,Activity6,Activity7,Activity8,Activity9,Activity10,Activity11,Activity12,Activity13,Activity14,Activity15,Activity16
1/5/2015,Cat_1,Cat_11,NA,33,NA,31,30,NA,NA,30,NA,NA,33,27,30,31,NA,31,NA
1/5/2015,Cat_1,Cat_2,NA,51674,813,38783,41816,NA,NA,694,NA,18373,34941,146911,167117,78282,NA,35525,NA
1/5/2015,Cat_3,Cat_2,NA,9444,101,4832,6102,NA,NA,77,NA,2279,7596,23638,25994,14362,NA,7274,NA
1/5/2015,Cat_1,Cat_3,NA,2459,29,4751,1941,NA,NA,33,NA,766,907,2576,3168,1841,NA,1108,NA
1/5/2015,Cat_3,Cat_3,NA,357,42,706,381,NA,NA,48,NA,102,202,503,598,387,NA,176,NA
1/5/2015,Cat_1,Cat_4,NA,11639,197,13682,8543,NA,NA,255,NA,3751,5479,13390,15318,9213,NA,7870,NA
1/5/2015,Cat_3,Cat_4,NA,1110,42,1527,978,NA,NA,46,NA,253,492,1550,1808,1018,NA,482,NA
1/5/2015,Cat_1,Cat_5,NA,66113,765,35728,39195,NA,NA,210,NA,17140,38613,124863,135792,64150,NA,52611,NA
1/5/2015,Cat_3,Cat_5,NA,12480,99,6699,8624,NA,NA,69,NA,2072,9126,22284,25890,15109,NA,7425,NA
1/5/2015,Cat_1,Cat_6,NA,29,NA,31,NA,NA,NA,46,NA,NA,NA,31,29,NA,NA,30,NA
1/5/2015,Cat_4,Cat_6,NA,13285,700,83170,66361,NA,NA,8602,NA,57509,44228,144889,198557,90485,NA,62414,NA
1/5/2015,Cat_1,Cat_7,NA,9429,158,12503,7413,NA,NA,600,NA,1563,5016,11194,12736,6126,NA,4912,NA
1/5/2015,Cat_3,Cat_7,NA,1016,29,1118,923,NA,NA,136,NA,224,568,995,1317,691,NA,553,NA
1/5/2015,Cat_1,Cat_8,NA,135547,1227,65777,85508,NA,NA,743,NA,27765,96249,253353,288439,148757,NA,143778,NA
1/5/2015,Cat_3,Cat_8,NA,21121,200,9828,15004,NA,NA,251,NA,3594,17014,38366,55030,26678,NA,24142,NA
